Parcela;Especie;DAP
9;Jacaranda puberula;10,3450713
9;Dasyphyllum tomentosum;14,48309982
9;Casearia decandra;6,047887837
9;Myrsine umbellata;8,37173155
9;Cedrela fissilis;20,1490158
9;Casearia decandra;6,810715901
9;Casearia decandra;5,474930042
9;Annona rugulosa;8,498873961
9;Scutia buxifolia;6,46169069
9;Myrsine coriacea;11,58647986
9;Jacaranda puberula;8,021409132
9;Araucaria angustifolia;7,703099246
9;Duranta vestita;6,175211792
9;Myrsine umbellata;5,856901906
9;Araucaria angustifolia;5,092958179
9;Jacaranda puberula;9,199155711
9;Casearia obliqua;9,644789551
9;Casearia decandra;6,652676621
10;Lithraea brasiliensis;23,45943861
10;Casearia decandra;8,021409132
10;Prunus myrtifolia;24,22338234
10;Podocarpus lambertii;5,092958179
10;Allophylus guaraniticus;16,45662112
10;Eugenia pluriflora;8,97633879
10;Araucaria angustifolia;38,13352436
10;Casearia decandra;5,920563883
10;Casearia decandra;6,589014644
10;Ocotea pulchella;38,89746809
10;Vernonanthura discolor;27,53380515
10;Casearia decandra;7,575775291
10;Duranta vestita;7,352958371
10;Duranta vestita;7,377376702
10;Symplocos uniflora;15,56535343
10;Calyptranthes concinna;5,856901906
10;Duranta vestita;5,252113122
10;Duranta vestita;7,161972439
10;Duranta vestita;6,589014644
10;Duranta vestita;5,220282133
10;Celtis iguanaea;9,549296586
10;Celtis iguanaea;7,512113314
10;Myrsine umbellata;15,3743675
10;Rhamnus sphaerosperma;5,315775099
10;Myrceugenia oxysepala;5,888732894
10;Podocarpus lambertii;18,01633956
10;Jacaranda puberula;12,41408556
10;Myrsine umbellata;7,575775291
10;Calyptranthes concinna;6,525352667
10;Calyptranthes concinna;5,599540471
10;Calyptranthes concinna;11,87504935
10;Casearia decandra;17,41155077
10;Dasyphyllum spinescens;25,40112892
10;Myrcia guianensis;11,87295875
10;Coutarea hexandra;4,997465213
10;Sapium glandulosum;10,82253613
10;Drimys brasiliensis;5,315775099
11;Araucaria angustifolia;11,04535305
11;Banara tomentosa;8,371550007
11;Lithraea brasiliensis;13,8072394
11;Ocotea pulchella;22,91831181
11;Casearia decandra;11,33183195
11;Myrsine coriacea;17,12507188
11;Casearia decandra;10,9180291
11;Lithraea brasiliensis;5,729577951
11;Ilex theezans;12,79605742
11;Ilex theezans;6,525352667
11;Calyptranthes concinna;6,079718826
11;Dasyphyllum tomentosum;16,4884521
11;Lithraea brasiliensis;8,05324012
11;Araucaria angustifolia;32,84958025
11;Ilex theezans;6,334366735
11;Lithraea brasiliensis;24,17785177
11;Myrcia laruotteana;5,092958179
11;Myrcia palustris;6,46169069
11;Calyptranthes concinna;9,356469905
